ID;type;locale;fr_FR;category;min_value;max_value;step_value;Option1;Option2;Option3;Option4;Option5;Option6;Option7;Option8;Option9;Option10;;
23;STEP_LABELED;es_ES;Los reality shows deberían desaparecer de nuestras pantallas.;9;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
23;STEP_LABELED;fr_FR;La télé-réalité devrait disparaître de nos écrans.;9;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
24;STEP_LABELED;en_US;The leader of your country is doing a good job.;9;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
24;STEP_LABELED;es_ES;El líder de tu país está haciendo un buen trabajo.;9;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
24;STEP_LABELED;fr_FR;Le dirigeant de votre pays fait du bon travail;9;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
25;YES_NO_IDK;en_US;Have you ever bought adult magazines?;4;;;;;;;;;;;;;;;
25;YES_NO_IDK;es_ES;¿Alguna vez has comprado revistas eróticas?;4;;;;;;;;;;;;;;;
25;YES_NO_IDK;fr_FR;Avez-vous déjà acheté des magazines de charme ?;4;;;;;;;;;;;;;;;
26;STEP_LABELED;en_US;Polyamory, i.e. having several romantic relationships at the same time, is possible.;2;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
26;STEP_LABELED;es_ES;El poliamor, es decir, tener varias relaciones amorosas al mismo tiempo, es posible.;2;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
26;STEP_LABELED;fr_FR;Le polyamour, c'est-à-dire le fait d'avoir plusieurs relations amoureuses en même temps, est possible.;2;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
27;STEP_LABELED;en_US;The president of your country is a buffoon.;2;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
27;STEP_LABELED;es_ES;El presidente de tu país es un bufón.;2;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
27;STEP_LABELED;fr_FR;Le président de votre pays est un bouffon.;2;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
28;STEP_LABELED;en_US;Suicide is a selfish act.;4;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
28;STEP_LABELED;es_ES;El suicidio es un acto egoísta.;4;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
28;STEP_LABELED;fr_FR;Le suicide est un acte égoiste.;4;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
29;STEP_LABELED;en_US;Art education should be compulsory until high school graduation.;6;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
29;STEP_LABELED;es_ES;La educación artística debería ser obligatoria hasta el bachillerato.;6;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
29;STEP_LABELED;fr_FR;L'éducation artistique devrait être obligatoire jusqu'au baccalauréat.;6;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
30;YES_NO_IDK;en_US;Do you like to swim naked?;8;;;;;;;;;;;;;;;
30;YES_NO_IDK;es_ES;¿Te gusta bañarte desnudo?;8;;;;;;;;;;;;;;;
30;YES_NO_IDK;fr_FR;Aimez-vous vous baigner nu ?;8;;;;;;;;;;;;;;;
31;YES_NO_IDK;en_US;Do you find it difficult to speak in public?;10;;;;;;;;;;;;;;;
31;YES_NO_IDK;es_ES;¿Te resulta difícil hablar en público?;10;;;;;;;;;;;;;;;
31;YES_NO_IDK;fr_FR;Vous est-il pénible de faire un discours en public ?;10;;;;;;;;;;;;;;;
32;YES_NO_IDK;en_US;Have you ever fallen asleep at work?;1,8,10;;;;;;;;;;;;;;;
32;YES_NO_IDK;es_ES;¿Alguna vez te has quedado dormido en el trabajo?;1,8,10;;;;;;;;;;;;;;;
32;YES_NO_IDK;fr_FR;Vous-êtes vous déjà endormi au travail ?;1,8,10;;;;;;;;;;;;;;;
33;STEP_LABELED;en_US;Sex offenders should be punished much more severely.;7;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
33;STEP_LABELED;es_ES;Los delincuentes sexuales deberían ser castigados con mucha más severidad.;7;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
33;STEP_LABELED;fr_FR;Les criminels sexuels devraient être punis bien plus sévèrement.;7;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
34;YES_NO_IDK;en_US;Have you ever had a fit of laughter during a funeral?;5,8,9;;;;;;;;;;;;;;;
34;YES_NO_IDK;es_ES;¿Alguna vez te has reído a carcajadas durante un funeral?;5,8,9;;;;;;;;;;;;;;;
34;YES_NO_IDK;fr_FR;Vous est-il arrivé d'avoir un fou rire pendant un enterrement ?;5,8,9;;;;;;;;;;;;;;;
35;YES_NO_IDK;en_US;Have you ever blamed someone else for something? ;5,7;;;;;;;;;;;;;;;
35;YES_NO_IDK;es_ES;¿Alguna vez has culpado a otra persona por algo que no había hecho? ;5,7;;;;;;;;;;;;;;;
35;YES_NO_IDK;fr_FR;Avez-vous déjà fait porter le chapeau à quelqu'un d'autre? ;5,7;;;;;;;;;;;;;;;
36;YES_NO_IDK;en_US;Do you know anyone who is a member of a cult?;1,7;;;;;;;;;;;;;;;
36;YES_NO_IDK;es_ES;¿Conoces a alguien que sea miembro de una secta?;1,7;;;;;;;;;;;;;;;
36;YES_NO_IDK;fr_FR;Connaissez-vous quelqu'un membre d'une secte ?;1,7;;;;;;;;;;;;;;;
37;YES_NO_IDK;en_US;Have you ever felt that your last hour had come?;1,8,9;;;;;;;;;;;;;;;
37;YES_NO_IDK;es_ES;¿Alguna vez has tenido la sensación de que había llegado tu última hora?;1,8,9;;;;;;;;;;;;;;;
37;YES_NO_IDK;fr_FR;Avez-vous déjà eu le sentiment que votre dernière heure était arrivée ?;1,8,9;;;;;;;;;;;;;;;
38;YES_NO_IDK;en_US;Have you ever been ashamed of your spouse?;4,7;;;;;;;;;;;;;;;
38;YES_NO_IDK;es_ES;¿Alguna vez te has avergonzado de tu pareja?;4,7;;;;;;;;;;;;;;;
38;YES_NO_IDK;fr_FR;Avez-vous déjà eu honte de votre conjoint(e) ?;4,7;;;;;;;;;;;;;;;
39;STEP_LABELED;en_US;Soft drugs should be freely available.;2,3;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
39;STEP_LABELED;es_ES;Las drogas blandas deberían venderse libremente.;2,3;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
39;STEP_LABELED;fr_FR;Les drogues douces devraient être en vente libre.;2,3;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
40;YES_NO_IDK;en_US;Have you ever made a decision by flipping a coin?;5;;;;;;;;;;;;;;;
40;YES_NO_IDK;es_ES;¿Alguna vez has tomado una decisión lanzando una moneda al aire?;5;;;;;;;;;;;;;;;
40;YES_NO_IDK;fr_FR;Avez-vous déjà pris une décision à pile ou face?;5;;;;;;;;;;;;;;;
41;STEP_LABELED;en_US;Soldiers are murderers.;8;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
41;STEP_LABELED;es_ES;Los soldados son asesinos.;8;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
41;STEP_LABELED;fr_FR;Les soldats sont des assassins.;8;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
42;STEP_LABELED;en_US;The most important thing in a relationship is to support each other.;2,11;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
42;STEP_LABELED;es_ES;Lo esencial en una pareja es apoyarse mutuamente.;2,11;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
42;STEP_LABELED;fr_FR;L'essentiel dans un couple est de se soutenir mutuellement.;2,11;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
43;STEP_LABELED;en_US;The use of atomic bombs may be justifiable in certain circumstances.;2,3;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
43;STEP_LABELED;es_ES;El uso de la bomba atómica puede ser justificable en determinadas circunstancias.;2,3;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
43;STEP_LABELED;fr_FR;L'utilisation de la bombe atomique est possiblement justifiable dans certaines circonstances.;2,3;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
44;YES_NO_IDK;en_US;Have you ever called the police over a neighborhood dispute?;8;;;;;;;;;;;;;;;
44;YES_NO_IDK;es_ES;¿Alguna vez has llamado a la policía por una disputa con un vecino?;8;;;;;;;;;;;;;;;
44;YES_NO_IDK;fr_FR;Avez-vous déjà appelé la police pour une querelle de voisinage ?;8;;;;;;;;;;;;;;;
45;STEP_LABELED;en_US;We will drive flying cars in the future.;3;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
45;STEP_LABELED;es_ES;En el futuro conduciremos coches voladores.;3;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
45;STEP_LABELED;fr_FR;Nous conduirons des voitures volantes dans le futur.;3;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
46;STEP_LABELED;en_US;Your children will have a better life.;9;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
46;STEP_LABELED;es_ES;Tus hijos tendrán una vida mejor.;9;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
46;STEP_LABELED;fr_FR;Vos enfants vivront une vie meilleure.;9;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
47;YES_NO_IDK;en_US;Have you ever employed someone off the books?;8;;;;;;;;;;;;;;;
47;YES_NO_IDK;es_ES;¿Alguna vez has dado trabajo a alguien en negro?;8;;;;;;;;;;;;;;;
47;YES_NO_IDK;fr_FR;Avez-vous déjà fait travailler quelqu'un au black ?;8;;;;;;;;;;;;;;;
48;STEP_LABELED;en_US;How important is the cleanliness of your home to you?;9;;;;Not at all;Not much;Average;Rather;Really;;;;;;;
48;STEP_LABELED;es_ES;¿Qué importancia le das a la limpieza de tu vivienda?;9;;;;Para nada;No mucho;Promedio;Más bien;Realmente;;;;;;;
48;STEP_LABELED;fr_FR;À quel point attachez-vous de l'importance à à la propreté de votre logement?;9;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Vraiment;;;;;;;
49;STEP_LABELED;en_US;How attractive do you find yourself?;8;;;;Not at all;Not much;Average;Rather;Really;;;;;;;
49;STEP_LABELED;es_ES;¿Qué tan atractivo te consideras?;8;;;;Para nada;No mucho;Promedio;Más bien;Realmente;;;;;;;
49;STEP_LABELED;fr_FR;À quel point vous trouvez-vous séduisant(e) ?;8;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Vraiment;;;;;;;
50;YES_NO_IDK;en_US;Would you like to change jobs?;8,9;;;;;;;;;;;;;;;
50;YES_NO_IDK;es_ES;¿Te gustaría cambiar de profesión?;8,9;;;;;;;;;;;;;;;
50;YES_NO_IDK;fr_FR;Aimeriez-vous changer de métier ?;8,9;;;;;;;;;;;;;;;
51;STEP_LABELED;en_US;Do you approve of genetic manipulation of embryos?;4,7;;;;Not at all;Not much;Average;Rather;Completely;;;;;;;
51;STEP_LABELED;es_ES;¿Está de acuerdo con la manipulación genética de embriones?;4,7;;;;Para nada;No mucho;Promedio;Más bien;Completamente;;;;;;;
51;STEP_LABELED;fr_FR;Approuvez-vous la manipulation génétique des embryons.;4,7;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Complètement;;;;;;;
52;STEP_LABELED;en_US;Do you believe in the benefits of homeopathy?;9;;;;Not at all;Not much;Average;Rather;A lot;;;;;;;
52;STEP_LABELED;es_ES;¿Cree en los beneficios de la homeopatía?;9;;;;Para nada;No mucho;Promedio;Más bien;Mucho;;;;;;;
52;STEP_LABELED;fr_FR;Croyez-vous aux bienfaits de l'homéopathie ?;9;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Beaucoup;;;;;;;
53;STEP_LABELED;en_US;Are you curious about what happens after death?;1,9;;;;Not at all;Not much;Average;Rather;A lot;;;;;;;
53;STEP_LABELED;es_ES;¿Tiene curiosidad por saber qué pasa después de la muerte?;1,9;;;;Para nada;No mucho;Promedio;Más bien;Mucho;;;;;;;
53;STEP_LABELED;fr_FR;Etes-vous curieux de savoir ce qui se passe après la mort ?;1,9;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Beaucoup;;;;;;;
54;YES_NO_IDK;en_US;Have you ever told a stranger that you thought they were attractive?;7;;;;;;;;;;;;;;;
54;YES_NO_IDK;es_ES;¿Alguna vez le has dicho a un desconocido que te parece guapo o guapa?;7;;;;;;;;;;;;;;;
54;YES_NO_IDK;fr_FR;Avez-vous déjà dit à un ou une inconnue que vous le ou la trouviez canon ?;7;;;;;;;;;;;;;;;
55;YES_NO_IDK;en_US;Do you have a tattoo?;8;;;;;;;;;;;;;;;
55;YES_NO_IDK;es_ES;¿Tienes algún tatuaje?;8;;;;;;;;;;;;;;;
55;YES_NO_IDK;fr_FR;Avez-vous un tatouage ?;8;;;;;;;;;;;;;;;
56;YES_NO_IDK;en_US;Do you panic at the sight of blood?;9;;;;;;;;;;;;;;;
56;YES_NO_IDK;es_ES;¿Te da pánico ver sangre?;9;;;;;;;;;;;;;;;
56;YES_NO_IDK;fr_FR;Paniquez-vous à la vue du sang ?;9;;;;;;;;;;;;;;;
57;STEP_LABELED;en_US;Are you resentful?;3,8;;;;Not at all;Not much;Average;Rather;A lot;;;;;;;
57;STEP_LABELED;es_ES;¿Es rencoroso?;3,8;;;;Para nada;No mucho;Promedio;Más bien;Mucho;;;;;;;
57;STEP_LABELED;fr_FR;Etes-vous rancunier ?;3,8;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Beaucoup;;;;;;;
58;YES_NO_IDK;en_US;Have you ever had a paranormal experience? ;1,8;;;;;;;;;;;;;;;
58;YES_NO_IDK;es_ES;¿Alguna vez has tenido una percepción paranormal? ;1,8;;;;;;;;;;;;;;;
58;YES_NO_IDK;fr_FR;Avez-vous déjà eu une perception paranormale? ;1,8;;;;;;;;;;;;;;;
59;YES_NO_IDK;en_US;Have you ever read writings from a religion other than your own?;1;;;;;;;;;;;;;;;
59;YES_NO_IDK;es_ES;¿Alguna vez has leído escritos de otra religión distinta a la tuya?;1;;;;;;;;;;;;;;;
59;YES_NO_IDK;fr_FR;Avez-vous déjà lu des écrits d'une autre religion que la votre ?;1;;;;;;;;;;;;;;;
60;YES_NO_IDK;en_US;Do you eat your boogers?;5;;;;;;;;;;;;;;;
60;YES_NO_IDK;es_ES;¿Te comes los mocos?;5;;;;;;;;;;;;;;;
60;YES_NO_IDK;fr_FR;Mangez-vous vos crottes de nez?;5;;;;;;;;;;;;;;;
61;YES_NO_IDK;en_US;Do you feel like you belong in the present day?;9;;;;;;;;;;;;;;;
61;YES_NO_IDK;es_ES;¿Sientes que perteneces a la época actual?;9;;;;;;;;;;;;;;;
61;YES_NO_IDK;fr_FR;Avez-vous l'impression d'appartenir à l'époque actuelle?;9;;;;;;;;;;;;;;;
62;STEP_LABELED;en_US;Do you feel happy?;2;;;;Not at all;Not much;Average;Rather;Absolutely;;;;;;;
62;STEP_LABELED;es_ES;¿Se siente feliz?;2;;;;Para nada;No mucho;Promedio;Más bien;Absolutamente;;;;;;;
62;STEP_LABELED;fr_FR;Vous sentez-vous heureux ?;2;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Tout à fait;;;;;;;
63;YES_NO_IDK;en_US;Have you ever run out of gas?;8;;;;;;;;;;;;;;;
63;YES_NO_IDK;es_ES;¿Alguna vez te has quedado sin gasolina?;8;;;;;;;;;;;;;;;
63;YES_NO_IDK;fr_FR;Etes-vous déjà tombé(e) en panne d'essence ?;8;;;;;;;;;;;;;;;
64;YES_NO_IDK;en_US;Have you ever been sexually harassed?;7;;;;;;;;;;;;;;;
64;YES_NO_IDK;es_ES;¿Alguna vez te han acosado sexualmente?;7;;;;;;;;;;;;;;;
64;YES_NO_IDK;fr_FR;Vous a-t-on déjà importuné sexuellement ?;7;;;;;;;;;;;;;;;
65;STEP_LABELED;en_US;How important is your car to you?;3;;;;Not at all;Not much;Average;Rather;A lot;;;;;;;
65;STEP_LABELED;es_ES;¿Qué importancia le da a su coche?;3;;;;Para nada;No mucho;Promedio;Más bien;Mucho;;;;;;;
65;STEP_LABELED;fr_FR;À quel point attachez-vous de l'importance à votre voiture?;3;;;;Pas du tout;Pas trop;Moyen;Plutôt ;Beaucoup;;;;;;;
66;STEP_LABELED;en_US;How often have you seriously considered committing suicide?;9;;;;Never;Almost never;Sometimes;Often;Very often;Always;;;;;;
66;STEP_LABELED;es_ES;¿Con qué frecuencia ha pensado seriamente en suicidarse?;9;;;;Nunca;Casi nunca;A veces;A menudo;Muy a menudo;Siempre;;;;;;
66;STEP_LABELED;fr_FR;À quelle fréquence avez-vous déjà sérieusement pensé à vous suicider?;9;;;;Jamais;Presque Jamais;Parfois;Souvent;Très souvent;Toujours;;;;;;
67;YES_NO_IDK;en_US;Have you ever hit a partner during sex? ;4;;;;;;;;;;;;;;;
67;YES_NO_IDK;es_ES;¿Alguna vez has golpeado a tu pareja durante una relación sexual? ;4;;;;;;;;;;;;;;;
67;YES_NO_IDK;fr_FR;Avez-vous déjà frappé un partenaire lors d'une relation sexuelle? ;4;;;;;;;;;;;;;;;
68;YES_NO_IDK;en_US;Have you ever secretly spit in someone's plate or glass?;5;;;;;;;;;;;;;;;
68;YES_NO_IDK;es_ES;¿Alguna vez has escupido en secreto en el plato o el vaso de alguien?;5;;;;;;;;;;;;;;;
68;YES_NO_IDK;fr_FR;Avez-vous déjà secrètement craché dans l'assiette ou le verre de quelqu'un ?;5;;;;;;;;;;;;;;;
69;YES_NO_IDK;en_US;Do you own any sex toys?;4,8;;;;;;;;;;;;;;;
69;YES_NO_IDK;es_ES;¿Tienes accesorios eróticos?;4,8;;;;;;;;;;;;;;;
69;YES_NO_IDK;fr_FR;Possédez-vous des accessoires érotiques?;4,8;;;;;;;;;;;;;;;
